7bitconf,7bitConf,7bitConf::7bitConf
lief,LIEF,LIEF::LIEF
lielab,Lielab,Lielab::Lielab
lightgbm,LightGBM,LightGBM::LightGBM
lightpcapng,light_pcapng,light_pcapng::light_pcapng
litehtml,litehtml,litehtml
llhttp,llhttp,llhttp::llhttp
llnl-units,units,units::units
llvm-core,LLVM,LLVM
llvm-openmp,OpenMP,OpenMP::OpenMP
log4cplus,log4cplus,log4cplus::log4cplus
log4cxx,log4cxx,log4cxx
logr,logr,
loguru,loguru,loguru::loguru
luau,Luau,Luau::Luau
lyra,lyra,bfg::lyra
lz4,lz4,
lzham,lzham,lzham::lzham
magic_enum,magic_enum,magic_enum::magic_enum
magnum,Magnum,
magnum-extras,MagnumExtras,
magnum-integration,MagnumIntegration,
manif,manif,MANIF::manif
mariadb-connector-cpp,mariadb-connector-cpp,mariadb-connector-cpp::mariadb-connector-cpp
matchit,matchit,matchit::matchit
mbedtls,MbedTLS,MbedTLS::mbedtls
mbits-args,mbits-args,mbits::args
mbits-diags,mbits-diags,mbits::diags
mbits-lngs,mbits-lngs,
mbits-mstch,mbits-mstch,mbits::mstch
mbits-semver,mbits-semver,mbits::semver
mbits-utfconv,mbits-utfconv,mbits::utfconv
md4c,md4c,md4c::md4c-html
md4qt,md4qt,md4qt::md4qt
mdns,mdns,mdns::mdns
mdnsresponder,DNSSD,DNSSD::DNSSD
mdspan,mdspan,std::mdspan
meshoptimizer,meshoptimizer,meshoptimizer::meshoptimizer
metal-cpp,metal-cpp,metal-cpp::metal-cpp
metall,Metall,Metall::Metall
mfast,mFAST,
mgs,mgs,
mikelankamp-fpm,fpm,fpm::fpm
mimalloc,mimalloc,
minio-cpp,miniocpp,miniocpp::miniocpp
miniupnpc,miniupnpc,miniupnpc::miniupnpc
miniz,miniz,miniz::miniz
minizip-ng,minizip,MINIZIP::minizip
mio,mio,mio::mio
mlpack,mlpack,mlpack::mlpack
mongo-c-driver,mongoc-1.0,
mongo-cxx-driver,mongocxx,
morton-nd,morton-nd,morton-nd::MortonND
mozjpeg,mozjpeg,
mpark-variant,mpark_variant,mpark_variant
mpg123,mpg123,
mpmcqueue,MPMCQueue,MPMCQueue::MPMCQueue
mppp,mp++,mp++::mp++
ms-gsl,Microsoft.GSL,Microsoft.GSL::GSL
msdfgen,msdfgen,msdfgen::msdgen-all-unofficial
msgpack-c,msgpack,msgpackc
msgpack-cxx,msgpack-cxx,msgpack-cxx
msgpack23,msgpack23,msgpack23::msgpack23
muparser,muparser,muparser::muparser
muparserx,muparserx,
mysql-connector-cpp,mysql-concpp,mysql::concpp
nanodbc,nanodbc,nanodbc::nanodbc
nanoflann,nanoflann,nanoflann::nanoflann
nanomsg,nanomsg,nanomsg::nanomsg
nanorange,nanorange,nanorange::nanorange
ncurses,Curses,Curses::Curses
neargye-semver,semver,semver::semver
netcdf,netCDF,netCDF::netcdf
nifti_clib,nifti,NIFTI::NIFTI
nlohmann_json,nlohmann_json,nlohmann_json::nlohmann_json
nlopt,NLopt,NLopt::nlopt
nng,nng,nng::nng
nodeeditor,QtNodes,QtNodes::QtNodes
norm,norm,norm::norm
nudb,,NuDB
numcpp,NumCpp,NumCpp::NumCpp
nvcloth,nvcloth,nvcloth::nvcloth
oatpp,oatpp,oatpp::oatpp-test
oatpp-libressl,oatpp-libressl,oatpp::oatpp-libressl
oatpp-openssl,oatpp-openssl,oatpp::oatpp-openssl
oatpp-postgresql,oatpp-postgresql,oatpp::oatpp-postgresql
oatpp-sqlite,oatpp-sqlite,oatpp::oatpp-sqlite
